a_3_class_group,text,clean_text,sentiment,average_course_evaluation_rating,dominant_topic,topic_label,topic_probability
Group B,"The practical approach by using different tools like Docker and Power BI, made it easier to connect theory with application.
The course helped me identify areas I can apply Business Intelligence in the future A better way of communicating theory.. sometimes the content is too much making it too much information to process and understand at once",the practical approach by using different tools like docker and power bi made it easier to connect theory with application the course helped me identify areas i can apply business intelligence in the future a better way of communicating theory sometimes the content is too much making it too much information to process and understand at once,negative,3.6364,2,Practical Labs and Hands-on Learning,0.9710542485892641
Group B,Lecture slides and lab instructions Use some classes to summarize/revise the topic in addition to the quizzes atleast have a class discussion where students are free to ask questions abt the completed topic and get more clarification and better understanding especially for labs,lecture slides and lab instructions use some classes to summarizerevise the topic in addition to the quizzes atleast have a class discussion where students are free to ask questions abt the completed topic and get more clarification and better understanding especially for labs,neutral,4.5455,3,Learning Resources and Materials,0.9005772604677922
Group B,Involvement in learning and practice with the lab works More assignments and quizzes for more active engagement with the unit,involvement in learning and practice with the lab works more assignments and quizzes for more active engagement with the unit,neutral,4.2727,3,Learning Resources and Materials,0.6216316454648789
Group B,"Separation of theory and practical subject between online and physical classes respectively, gides through practical labs Less software-intensive alternatives, (e.g avoiding using applications like Docker)",separation of theory and practical subject between online and physical classes respectively gides through practical labs less softwareintensive alternatives eg avoiding using applications like docker,negative,3.4545,2,Practical Labs and Hands-on Learning,0.7605874655141643
Group B,"The practical exercises and assignments helped me apply theoretical concepts to real-world scenarios.
 To be honest the lesson and lectures everything went smoothly",the practical exercises and assignments helped me apply theoretical concepts to realworld scenarios to be honest the lesson and lectures everything went smoothly,neutral,4.2727,4,Assessment Methods and Feedback,0.93195971645834
Group B,the lab assignments and the reflective journal i don't have any recommendations,the lab assignments and the reflective journal i dont have any recommendations,negative,3.0909,3,Learning Resources and Materials,0.8855963617285649
Group B,I liked the emphasis on practical understanding. Mr. Omondi is very dedicated to delivering the content well which I appreciate. Reduce the number of slides in BI 1 lecture notes. Most of them are inflated to be honest but the number of slides can be demoralizing to a student. If there is a way to reduce the number of slides while still maintaining the content it will positively impact the students of the future.,i liked the emphasis on practical understanding mr omondi is very dedicated to delivering the content well which i appreciate reduce the number of slides in bi lecture notes most of them are inflated to be honest but the number of slides can be demoralizing to a student if there is a way to reduce the number of slides while still maintaining the content it will positively impact the students of the future,neutral,4.0909,2,Practical Labs and Hands-on Learning,0.9676309964888452
Group B,Interesting ,interesting,negative,2.0,2,Practical Labs and Hands-on Learning,0.5998471550724223
Group B,The group work labs and the lecture slides It would be better for lecturers to take students through labs in a clearer way by simplifying the steps or give explanations on why this should be done and the impact. This is because one would finish the lab without understanding the true objective or how to apply it.,the group work labs and the lecture slides it would be better for lecturers to take students through labs in a clearer way by simplifying the steps or give explanations on why this should be done and the impact this is because one would finish the lab without understanding the true objective or how to apply it,negative,2.9091,3,Learning Resources and Materials,0.9524489597284395
Group B,There was room for further research and group work So far so good,there was room for further research and group work so far so good,neutral,4.3636,2,Practical Labs and Hands-on Learning,0.8632997633531659
Group B,I liked the lab work and the assignments review More reviewing of the lab work to ensure proper understanding to the students,i liked the lab work and the assignments review more reviewing of the lab work to ensure proper understanding to the students,negative,3.5455,3,Learning Resources and Materials,0.9106867453563211
Group B,"Detailed content in this unit
Labs that are helpful When it comes to specializations in 4th year, the knowledge on BI should be readily available to students before the said year. This will help them have a rough idea of what the unit is about.",detailed content in this unit labs that are helpful when it comes to specializations in th year the knowledge on bi should be readily available to students before the said year this will help them have a rough idea of what the unit is about,neutral,4.4545,2,Practical Labs and Hands-on Learning,0.9423313778511347
Group B,"Enjoyed the detailed lab manuals and practical sessions.
The detailed notes in each topic and diagrams. Better integration of Slack in the workflow (i.e utilizing it in labs, etc).",enjoyed the detailed lab manuals and practical sessions the detailed notes in each topic and diagrams better integration of slack in the workflow ie utilizing it in labs etc,neutral,4.3636,3,Learning Resources and Materials,0.7486340100559885
Group B,"time series
how it helps in business corporations using IT less notes",time series how it helps in business corporations using it less notes,neutral,4.0,3,Learning Resources and Materials,0.8828652537277011
Group B,The in-depth explanations. The lab manuals on the topics being covered More real world referencing,the indepth explanations the lab manuals on the topics being covered more real world referencing,negative,3.8182,3,Learning Resources and Materials,0.9106001210960898
Group B,"I enjoyed the practical aspect of the teaching, especially the labs and group work for each module.

I enjoyed the fact that we have access to the notes from early so you can read ahead and/or follow along in class.

I enjoyed the fact that labs were group based and we had ample time to do them. I think reflections should be graded once at the end of the semester or at least 1 week following the end of the module to give students enough time to thoroughly reflect on the content.",i enjoyed the practical aspect of the teaching especially the labs and group work for each module i enjoyed the fact that we have access to the notes from early so you can read ahead andor follow along in class i enjoyed the fact that labs were group based and we had ample time to do them i think reflections should be graded once at the end of the semester or at least week following the end of the module to give students enough time to thoroughly reflect on the content,neutral,4.2727,2,Practical Labs and Hands-on Learning,0.941322006171951
Group B,"I liked the labs they were engaging and learned a little bit of python
I liked the that lecture slides were consise for BI 2 I would recommend more on considering students and placing dealines that one can submit late but not extremely late and not being given mising marks even if they did the work.",i liked the labs they were engaging and learned a little bit of python i liked the that lecture slides were consise for bi i would recommend more on considering students and placing dealines that one can submit late but not extremely late and not being given mising marks even if they did the work,negative,3.6364,3,Learning Resources and Materials,0.9525409953767917
Group B,"1. I liked the labs we did 
2. The quality of teaching shorter lecture notes",i liked the labs we did the quality of teaching shorter lecture notes,negative,2.9091,3,Learning Resources and Materials,0.8992513459424378
Group B,The lecturer and the unit itself ,the lecturer and the unit itself,neutral,4.2727,2,Practical Labs and Hands-on Learning,0.44799801020139013
Group B,"I enjoyed my own personal studying of the course unit, that is, the research that I had to do trying to understand the concepts in the course.

I enjoyed the lab work as well; it helped in gaining better understanding of the application of the concepts learnt in class. Having better structured slides that are detailed in a simple manner for better understanding, the current slides make the topics seem so complicated when it's not, also they are not very dependable when doing revision which is a bummer!!!",i enjoyed my own personal studying of the course unit that is the research that i had to do trying to understand the concepts in the course i enjoyed the lab work as well it helped in gaining better understanding of the application of the concepts learnt in class having better structured slides that are detailed in a simple manner for better understanding the current slides make the topics seem so complicated when its not also they are not very dependable when doing revision which is a bummer,negative,2.8182,2,Practical Labs and Hands-on Learning,0.9357826941189521
Group B,Learned how businesses use data to drive their operations. Make the course more hands on,learned how businesses use data to drive their operations make the course more hands on,positive,4.7273,2,Practical Labs and Hands-on Learning,0.8840738526605169
Group B,"The lecturer made sure ylu understand before proceeding 
The end quizzes were a good way of remembering what we covered On the journals ... im having an issue with the lecturer viewimg my work... hence im not being graded ... maybe to find a way to make that more seemless ... cause ive raised the issue and theres a lot of friction in it being handled",the lecturer made sure ylu understand before proceeding the end quizzes were a good way of remembering what we covered on the journals im having an issue with the lecturer viewimg my work hence im not being graded maybe to find a way to make that more seemless cause ive raised the issue and theres a lot of friction in it being handled,neutral,4.2727,2,Practical Labs and Hands-on Learning,0.7989435848078519
Group B,I having practical labs to use real world tools and data to put the concepts I learn in class into practice. I enjoyed how practical examples where used to try and explain complex BI concepts. I have no reservations on this,i having practical labs to use real world tools and data to put the concepts i learn in class into practice i enjoyed how practical examples where used to try and explain complex bi concepts i have no reservations on this,positive,4.7273,2,Practical Labs and Hands-on Learning,0.8901728626584964
Group C,"The teaching was clear and engaging, and the examples made the lessons easy to understand as well as the engaging quizzes and lab works . I would probably recommend that more practical case studies or projects to apply BI concepts in real world scenarios should be included",the teaching was clear and engaging and the examples made the lessons easy to understand as well as the engaging quizzes and lab works i would probably recommend that more practical case studies or projects to apply bi concepts in real world scenarios should be included,neutral,4.1818,3,Learning Resources and Materials,0.9010214722737733
Group B,The lab works were very important At least to assist in the lab works especially before submission,the lab works were very important at least to assist in the lab works especially before submission,negative,3.0,3,Learning Resources and Materials,0.7450079875139239
Group B,I liked the quizzes and The BI2 topics. Be more step by step for practical and also the number of slides,i liked the quizzes and the bi topics be more step by step for practical and also the number of slides,negative,3.8182,2,Practical Labs and Hands-on Learning,0.8986152848134843
Group C,Mode of content delivery and practical lab exercises More individual assignments,mode of content delivery and practical lab exercises more individual assignments,positive,4.9091,3,Learning Resources and Materials,0.9077410507757444
Group C,The lab work and reflective journal after each module and the way concepts were taught N/a,the lab work and reflective journal after each module and the way concepts were taught na,positive,4.8182,3,Learning Resources and Materials,0.8007907813890796
Group C,Doing the labwork and learning new concepts We should have done a power BI certification,doing the labwork and learning new concepts we should have done a power bi certification,positive,5.0,2,Practical Labs and Hands-on Learning,0.899450103210884
Group C,"Regression 
Ml modelling ",regression ml modelling,negative,3.3636,2,Practical Labs and Hands-on Learning,0.5995567253475601
Group C,Incredibly detailed. No opinion on the matter,incredibly detailed no opinion on the matter,neutral,4.2727,4,Assessment Methods and Feedback,0.7985067052368183
Group A,"Straight forward content 
Deep dive knowledge of the content Reduce the number of lecture slides, some content can be placed on 1 or two pages.",straight forward content deep dive knowledge of the content reduce the number of lecture slides some content can be placed on or two pages,neutral,4.3636,2,Practical Labs and Hands-on Learning,0.9196149510841032
Group A,the practical enabled me to understand the concept being taught Have more labs where we are having one on one with the lecturer especially APIs,the practical enabled me to understand the concept being taught have more labs where we are having one on one with the lecturer especially apis,neutral,4.0,1,Teaching Quality and Engagement,0.9271993794327072
