timestamp,consent,a_1_student_id,a_2_gender,a_3_class_group,b_1_i_enjoyed_the_course,b_2_classes_started_and_ended_on_time,b_3_participative_learning_environment,b_4_subject_content_delivered_according_to_course_outline_and_my_expectations,b_5_topics_were_clear_and_logically_developed,b_6_developed_my_oral_and_writing_skills,b_7_developed_my_reflective_and_critical_reasoning_skills,b_8_the_assessment_methods_assisted_me_to_learn,b_9_received_relevant_feedback,b_10_read_recommended_readings_and_notes,b_11_used_the_elearning_material_posted,c_1_principles_of_business_intelligence_and_the_dataops_philosophy,c_2_data_engineering_and_data_analytics,c_3_dashboarding_for_business-facing_and_customer-facing_analytics,c_4_regression_and_classification,c_5_clustering_and_association_rule_mining,c_6_serving_ml_models_through_a_restish_api_using_flask_in_python,c_7_time-series_analysis_time-series_forecasting_and_neural_networks,c_8_natural_language_processing,d_1_python_as_a_programming_language,d_2_vs_code_and_pycharm_for_coding_in_python,d_3_r_as_a_programming_language,d_4_r_studio_for_coding_in_r,d_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows,d_6_git_and_github,d_7_docker_for_containerization,d_8_power_bi_for_data_visualization,d_9_dbeaver_and_datagrip_for_data_management,d_10_postman_for_api_testing,d_11_flask_and_gunicorn_for_serving_ml_models,d_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files,d_13_slack_for_casual_communication_with_a_data_team,e_1_group_work,e_2_quizzes_at_the_end_of_each_module,e_3_lab_manuals,e_4_required_lab_work_submissions_at_the_end_of_each_module,e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone,e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline,e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic,e_8_supplementary_content_to_read,e_9_lecture_slides_used_during_the_class,e_10_lecture_notes_on_some_of_the_lecture_slides,e_11_the_quality_of_the_lectures_given,e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes,f_1_In_your_opinion_which_topics_(if_any)_should_be_added_to_the_Business_Intelligence_I_and_II_curriculum,f_2_In_your_opinion_which_topics_(if_any)_should_be_removed_from_the_Business_Intelligence_I_and_II_curriculum,f_3_Write_at_least_two_things_you_liked_about_the_teaching_and_learning_in_this_course,f_4_Write_at_least_one_recommendation_to_improve_the_teaching_and_learning_in_this_course_(for_future_classes),average_course_evaluation_rating,sentiment,average_level_of_learning_attained_rating,average_level_of_skills_and_competencies_rating,average_pedagogical_strategy_effectiveness_rating,absenteeism_percentage,text,clean_text,dominant_topic,topic_probability,topic_label,clean_text_sa,predicted_sentiment,prediction_confidence
06-11-25 8:26,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",11,Female,Group A,3,5,2,5,5,5,4,4,4,4,4,3,3,3,4,5,4,2,1,3,3,3,3,3,4,2,2,2,4,3,3,1,4,5,3,3,3,3,1,1,5,5,3,3,,,"Learning kmeans
Learning APIs",Please have make up CATS because things genuinely happen and it's so unfair to the affected parties,4.0909,neutral,3.125,2.7692,3.25,22.73,"Learning kmeans
Learning APIs Please have make up CATS because things genuinely happen and it's so unfair to the affected parties",learning kmeans learning apis please have make up cats because things genuinely happen and its so unfair to the affected parties,0,0.7434938687866623,Course Content and Structure,learn kmean learn api pleas make cat thing genuin happen unfair affect parti,neutral,0.5822645597511347
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",12,Male,Group A,4,5,5,5,5,3,5,5,5,4,5,4,5,4,5,5,5,3,3,5,4,3,3,4,4,2,4,3,4,5,3,1,5,5,5,5,4,4,2,2,4,4,2,3,"None, the current ones are sufficient",,"The lecture was very practical, a clear separation of theory and the practical to further reinforce learning","Introduce BI somewhere in third year, to allow students to further appreciate the unit and have a deeper understanding towards it",4.6364,positive,4.25,3.4615,3.75,9.09,"The lecture was very practical, a clear separation of theory and the practical to further reinforce learning Introduce BI somewhere in third year, to allow students to further appreciate the unit and have a deeper understanding towards it",the lecture was very practical a clear separation of theory and the practical to further reinforce learning introduce bi somewhere in third year to allow students to further appreciate the unit and have a deeper understanding towards it,2,0.9490311710577458,Practical Labs and Hands-on Learning,lectur practic clear separ theori practic reinforc learn introduc bi somewher third year allow student appreci unit deeper understand toward,positive,0.5654647341118316
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",13,Male,Group A,3,5,5,5,4,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,3,3,4,5,2,3,3,3,4,4,4,4,5,4,4,4,4,5,5,3,4,4,5,Artificial Intelligence,Dashboarding,The mode of content delivery and assessment,More quizzes,4.3636,neutral,4.0,3.6154,4.25,22.73,The mode of content delivery and assessment More quizzes,the mode of content delivery and assessment more quizzes,2,0.8660773782866358,Practical Labs and Hands-on Learning,mode content deliveri assess quizz,neutral,0.49201045911346303
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",14,Male,Group A,4,5,3,3,3,3,4,3,3,3,3,5,2,2,3,2,3,3,3,3,5,2,2,4,4,2,3,1,1,3,1,5,3,4,3,3,3,3,3,4,4,3,3,3,"In my opinion,iI think we should be diving more on real word topics in time series forecasting,for example explaining the financial market(This is for BI 2)
Automation
As there is a shift in the tech world with AI,in my opinion we should be taught jow to maximisze our skills using AI","In my opinion, Relational databases","I like that everything tested was covered,i liked the fact that we were challenged to do better and to push ourskeves","More engagements, not just completing the labs
And the university's machines were crashing sometimes on heavy labs on data engineering",3.3636,negative,2.875,2.7692,3.25,4.55,"I like that everything tested was covered,i liked the fact that we were challenged to do better and to push ourskeves More engagements, not just completing the labs
And the university's machines were crashing sometimes on heavy labs on data engineering",i like that everything tested was coveredi liked the fact that we were challenged to do better and to push ourskeves more engagements not just completing the labs and the universitys machines were crashing sometimes on heavy labs on data engineering,3,0.9323200980572888,Learning Resources and Materials,like everyth test coveredi like fact challeng better push ourskev engag complet lab univers machin crash sometim heavi lab data engin,negative,0.4575961364457339
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",15,Male,Group A,2,4,4,4,4,3,2,4,3,3,3,4,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,2,3,2,2,2,3,4,4,4,4,3,2,2,4,4,3,4,A project with a real business scenario through all modules,,The merging between practical and theoretical knowledge,A project with a real business scenario through out the modules to help understand business intelligence real life activities,3.2727,negative,3.125,2.3077,3.4167,18.18,The merging between practical and theoretical knowledge A project with a real business scenario through out the modules to help understand business intelligence real life activities,the merging between practical and theoretical knowledge a project with a real business scenario through out the modules to help understand business intelligence real life activities,4,0.9459544116095936,Assessment Methods and Feedback,merg practic theoret knowledg project real busi scenario modul help understand busi intellig real life activ,neutral,0.38411556381185413
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",16,Female,Group A,4,5,3,4,4,3,4,4,4,4,3,2,2,2,3,4,4,4,3,3,3,1,1,3,3,2,2,2,2,2,2,2,1,3,2,2,1,1,4,3,5,5,5,2,Not sure,,The content delivery and overall flow of content,Reducing the number of lab submissions made throughout the semester,3.8182,negative,3.0,2.1538,2.8333,13.64,The content delivery and overall flow of content Reducing the number of lab submissions made throughout the semester,the content delivery and overall flow of content reducing the number of lab submissions made throughout the semester,2,0.9195048370411838,Practical Labs and Hands-on Learning,content deliveri overal flow content reduc number lab submiss made throughout semest,neutral,0.4237835998418747
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",17,Male,Group B,2,4,4,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,2,4,3,2,2,4,5,1,5,1,1,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,,,Very Practical,"Business Intelligence as a major should be selected in 3rd year, allowing 2 years of learning. At some point the depth of the topics and the fast moving nature of a semester made this feel like a crash course. Most of the interest points can be explored after the course, however if the 8 topics were spread all through allowing us to fully immerse ourselves into the content, we would be industry ready by the end of our 4th year - positioning us strategically.",3.4545,negative,3.25,2.7692,2.9167,20.0,"Very Practical Business Intelligence as a major should be selected in 3rd year, allowing 2 years of learning. At some point the depth of the topics and the fast moving nature of a semester made this feel like a crash course. Most of the interest points can be explored after the course, however if the 8 topics were spread all through allowing us to fully immerse ourselves into the content, we would be industry ready by the end of our 4th year - positioning us strategically.",very practical business intelligence as a major should be selected in rd year allowing years of learning at some point the depth of the topics and the fast moving nature of a semester made this feel like a crash course most of the interest points can be explored after the course however if the topics were spread all through allowing us to fully immerse ourselves into the content we would be industry ready by the end of our th year positioning us strategically,2,0.9648021722067928,Practical Labs and Hands-on Learning,practic busi intellig major select rd year allow year learn point depth topic fast move natur semest made feel like crash cours interest point explor cours howev topic spread allow us fulli immers content would industri readi end th year posit us strateg,neutral,0.4248286011344214
06-11-25 8:28,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",18,Male,Group A,3,5,5,5,5,4,5,5,4,4,5,3,2,2,3,4,4,2,1,4,4,2,1,4,5,3,4,2,3,3,3,3,4,4,5,4,4,5,5,5,2,3,5,3,I do not have a topic to suggest or add upon the already existing ones,"None, I believe all topics are required in the curriculum","I like how the labs help with the practical knowledge of the concepts. 
I also like how there are explanation videos in the slides",I would like more analogies used when teaching.,4.5455,neutral,2.625,3.1538,4.0833,4.55,"I like how the labs help with the practical knowledge of the concepts. 
I also like how there are explanation videos in the slides I would like more analogies used when teaching.",i like how the labs help with the practical knowledge of the concepts i also like how there are explanation videos in the slides i would like more analogies used when teaching,2,0.5192433688113609,Practical Labs and Hands-on Learning,like lab help practic knowledg concept also like explan video slide would like analog use teach,neutral,0.5152919681542737
06-11-25 8:29,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",19,Male,Group A,5,5,5,5,5,5,5,4,5,3,5,5,4,5,3,4,3,4,3,4,5,2,3,2,5,4,4,3,5,3,3,5,5,5,5,5,5,4,5,5,5,5,4,5,,,I liked the practical approach to the modules using the labs and also enjoyed the effort put in to show real world applications of concepts learnt in class,Reduced number of slides,4.7273,positive,3.875,3.6923,4.8333,9.09,I liked the practical approach to the modules using the labs and also enjoyed the effort put in to show real world applications of concepts learnt in class Reduced number of slides,i liked the practical approach to the modules using the labs and also enjoyed the effort put in to show real world applications of concepts learnt in class reduced number of slides,2,0.9489878281440408,Practical Labs and Hands-on Learning,like practic approach modul use lab also enjoy effort put show real world applic concept learnt class reduc number slide,positive,0.4317140949352545
06-11-25 8:29,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",20,Female,Group A,5,5,5,4,4,3,3,4,4,5,5,3,3,4,3,3,5,5,3,4,4,2,2,3,5,4,5,3,3,4,3,4,2,3,5,4,3,3,4,3,5,5,5,4,Big Data Fundamentals and analyics,,"I liked the practical examples that were used to understand theory work
The lecturer clarified parts that were not easily understood at first",Students should set clear concise goals at the beginning of the semester about what they expect to learn from the course.,4.2727,neutral,3.625,3.5385,3.8333,27.27,"I liked the practical examples that were used to understand theory work
The lecturer clarified parts that were not easily understood at first Students should set clear concise goals at the beginning of the semester about what they expect to learn from the course.",i liked the practical examples that were used to understand theory work the lecturer clarified parts that were not easily understood at first students should set clear concise goals at the beginning of the semester about what they expect to learn from the course,2,0.948670121549029,Practical Labs and Hands-on Learning,like practic exampl use understand theori work lectur clarifi part easili understood first student set clear concis goal begin semest expect learn cours,neutral,0.409015734758384
06-11-25 8:29,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",21,Female,Group A,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,5,5,3,3,5,5,5,5,3,3,5,5,3,3,4,3,5,5,5,5,5,5,The mathematics included in BI2 especially in time series forecasting,,The method of explaining concepts,No recommendations,4.9091,positive,4.5,4.1538,4.4167,0.0,The method of explaining concepts No recommendations,the method of explaining concepts no recommendations,3,0.7992567719555216,Learning Resources and Materials,method explain concept recommend,positive,0.37306861003566866
06-11-25 8:31,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",22,Male,Group A,3,5,4,3,3,4,4,3,3,4,5,3,3,2,2,3,2,2,1,3,3,1,1,4,4,2,1,1,2,1,2,2,4,4,3,4,3,3,4,4,5,3,4,3,,,"1.How practical the module was 
2.The group work helped me improve my collaboration skills",,3.7273,negative,2.25,2.0769,3.6667,31.82,"1.How practical the module was 
2.The group work helped me improve my collaboration skills ",how practical the module was the group work helped me improve my collaboration skills,2,0.898703882814175,Practical Labs and Hands-on Learning,practic modul group work help improv collabor skill,neutral,0.48215078191959787
06-11-25 8:31,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",23,Male,Group A,4,5,4,5,5,3,4,5,2,5,5,5,4,5,4,5,5,3,2,5,4,2,2,5,5,3,4,3,2,5,5,4,5,3,5,5,4,4,4,3,4,5,5,4,"Generative AI/Adversarial networks (GANs), Computer Vision, and more emphasis on Neural Networks",Clustering and Association Rule Mining,"1. The topics were developed very clearly and logically, and technical concepts were explained very clearly; making it so that my understanding was enriched throughout.

2. The assignments (particularly the labs) were very insightful, and clearly outlined such that I could follow along and learn concepts that were initially very abstract in the theory classes.","There are many assignments that appear to be addressing the same areas within each topic. The reflective journal for example may be integrated elsewhere to avoid duplicate responses derived from other assignments, such as the labs.",4.2727,neutral,4.125,3.7692,4.25,9.09,"1. The topics were developed very clearly and logically, and technical concepts were explained very clearly; making it so that my understanding was enriched throughout.

2. The assignments (particularly the labs) were very insightful, and clearly outlined such that I could follow along and learn concepts that were initially very abstract in the theory classes. There are many assignments that appear to be addressing the same areas within each topic. The reflective journal for example may be integrated elsewhere to avoid duplicate responses derived from other assignments, such as the labs.",the topics were developed very clearly and logically and technical concepts were explained very clearly making it so that my understanding was enriched throughout the assignments particularly the labs were very insightful and clearly outlined such that i could follow along and learn concepts that were initially very abstract in the theory classes there are many assignments that appear to be addressing the same areas within each topic the reflective journal for example may be integrated elsewhere to avoid duplicate responses derived from other assignments such as the labs,3,0.9648892405555904,Learning Resources and Materials,topic develop clearli logic technic concept explain clearli make understand enrich throughout assign particularli lab insight clearli outlin could follow along learn concept initi abstract theori class mani assign appear address area within topic reflect journal exampl may integr elsewher avoid duplic respons deriv assign lab,neutral,0.5702255066026599
06-11-25 8:32,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",24,Male,Group A,4,5,4,5,5,3,3,4,5,5,4,3,3,5,4,4,3,4,1,4,4,4,4,3,5,3,4,3,3,3,3,2,4,5,4,4,4,4,1,1,4,5,5,5,none because the topics that were covered met my expectations and it was well outlined by the course outline and the lecturer,none,"i liked learning data analytics and visualizations, clustering and association rule mapping, also the practical implementation of these two modules. i also liked dashboarding and customer facing analytics","to reduce the number of slides, they are very many. some modules like regression had 300 slides which is a lot to read and master all the content in it",4.2727,neutral,3.375,3.4615,3.8333,9.09,"i liked learning data analytics and visualizations, clustering and association rule mapping, also the practical implementation of these two modules. i also liked dashboarding and customer facing analytics to reduce the number of slides, they are very many. some modules like regression had 300 slides which is a lot to read and master all the content in it",i liked learning data analytics and visualizations clustering and association rule mapping also the practical implementation of these two modules i also liked dashboarding and customer facing analytics to reduce the number of slides they are very many some modules like regression had slides which is a lot to read and master all the content in it,2,0.9633371472861132,Practical Labs and Hands-on Learning,like learn data analyt visual cluster associ rule map also practic implement two modul also like dashboard custom face analyt reduc number slide mani modul like regress slide lot read master content,neutral,0.5817666504171854
06-11-25 8:32,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",25,Female,Group A,4,5,4,5,3,3,4,4,3,2,1,5,5,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,3,3,4,3,4,3,3,3,4,,,The journals and quizzes,Doing physical cat 1 and cat 2 so that we don't have a lot to revise for the only cat we have,3.4545,negative,3.625,3.0,3.6667,13.64,The journals and quizzes Doing physical cat 1 and cat 2 so that we don't have a lot to revise for the only cat we have,the journals and quizzes doing physical cat and cat so that we dont have a lot to revise for the only cat we have,3,0.9192550448319354,Learning Resources and Materials,journal quizz physic cat cat dont lot revis cat,negative,0.4481802831150871
06-11-25 8:32,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",26,Male,Group A,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,3,4,3,3,4,4,3,3,3,5,4,4,3,3,3,3,3,4,4,4,4,5,5,4,4,5,5,5,5,Continuous intelligence and Data collaboration,,"1. The variety of sodtware we learnt to use through practice.
2. The amount of practice enabled through various labs.",The slides could be more organised to make it easier to go through,4.8182,positive,3.625,3.4615,4.5,27.27,"1. The variety of sodtware we learnt to use through practice.
2. The amount of practice enabled through various labs. The slides could be more organised to make it easier to go through",the variety of sodtware we learnt to use through practice the amount of practice enabled through various labs the slides could be more organised to make it easier to go through,0,0.7450982137420187,Course Content and Structure,varieti sodtwar learnt use practic amount practic enabl variou lab slide could organis make easier go,positive,0.5106657546064285
06-11-25 8:34,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",27,Female,Group A,1,5,5,4,5,1,1,4,4,4,5,3,3,4,3,3,1,4,1,2,4,1,1,4,5,4,4,1,1,2,3,4,4,5,4,4,4,3,3,4,4,4,5,5,none,none,"I liked the practical labs; they encourgaed critical thinking and problem-solving.
I appreciated the strict deadlines because they encouraged discipline and planning ahead
I liked the reflective journals because they allowed me to recall and be honest with my understanding in the topics",I have none,3.5455,negative,2.75,2.7692,4.0833,9.09,"I liked the practical labs; they encourgaed critical thinking and problem-solving.
I appreciated the strict deadlines because they encouraged discipline and planning ahead
I liked the reflective journals because they allowed me to recall and be honest with my understanding in the topics I have none",i liked the practical labs they encourgaed critical thinking and problemsolving i appreciated the strict deadlines because they encouraged discipline and planning ahead i liked the reflective journals because they allowed me to recall and be honest with my understanding in the topics i have none,3,0.9452756925477288,Learning Resources and Materials,like practic lab encourga critic think problemsolv appreci strict deadlin encourag disciplin plan ahead like reflect journal allow recal honest understand topic none,negative,0.4546259458664565
